long,lat,Total Stops,Total Citations,Total Accidents,Total Injuries,Total Fatalities,geometry,Stops per Accident,Stops per Injury,Stops per Fatality
-77.41,39.1775,22,16,0,0,0,POINT (-77.41 39.1775),0.0,0.0,0.0
-77.41,39.18,42,17,0,0,0,POINT (-77.41 39.18),0.0,0.0,0.0
-77.41,39.1825,6,1,0,0,0,POINT (-77.41 39.1825),0.0,0.0,0.0
-77.4075,39.0875,3,0,0,0,0,POINT (-77.4075 39.0875),0.0,0.0,0.0
-77.4075,39.095,1,0,0,0,0,POINT (-77.4075 39.095),0.0,0.0,0.0
-77.4075,39.125,3,0,0,0,0,POINT (-77.4075 39.125),0.0,0.0,0.0
-77.4075,39.1275,17,6,0,0,0,POINT (-77.4075 39.1275),0.0,0.0,0.0
-77.4075,39.13,4,0,0,0,0,POINT (-77.4075 39.13),0.0,0.0,0.0
-77.4075,39.1325,18,63,4,0,0,POINT (-77.4075 39.1325),0.2222222222222222,0.0,0.0
-77.4075,39.135,5,6,2,2,0,POINT (-77.4075 39.135),0.4,0.4,0.0
-77.4075,39.1375,21,28,0,0,0,POINT (-77.4075 39.1375),0.0,0.0,0.0
-77.4075,39.14,24,48,0,0,0,POINT (-77.4075 39.14),0.0,0.0,0.0
-77.4075,39.1425,168,171,1,1,0,POINT (-77.4075 39.1425),0.005952380952380952,0.005952380952380952,0.0
-77.4075,39.145,46,32,0,0,0,POINT (-77.4075 39.145),0.0,0.0,0.0
-77.4075,39.1475,14,0,0,0,0,POINT (-77.4075 39.1475),0.0,0.0,0.0
-77.4075,39.15,8,0,4,0,0,POINT (-77.4075 39.15),0.5,0.0,0.0
-77.4075,39.155,2,0,0,0,0,POINT (-77.4075 39.155),0.0,0.0,0.0
-77.4075,39.16,1,0,0,0,0,POINT (-77.4075 39.16),0.0,0.0,0.0
-77.4075,39.175,74,12,0,0,0,POINT (-77.4075 39.175),0.0,0.0,0.0
-77.4075,39.1775,11,4,0,0,0,POINT (-77.4075 39.1775),0.0,0.0,0.0
-77.4075,39.1825,3,9,3,0,0,POINT (-77.4075 39.1825),1.0,0.0,0.0
-77.4075,39.2275,5,25,0,0,0,POINT (-77.4075 39.2275),0.0,0.0,0.0
-77.405,39.1,6,4,0,0,0,POINT (-77.405 39.1),0.0,0.0,0.0
-77.405,39.12,3,3,0,0,0,POINT (-77.405 39.12),0.0,0.0,0.0
-77.405,39.135,36,4,0,0,0,POINT (-77.405 39.135),0.0,0.0,0.0
-77.405,39.1375,13,37,0,0,0,POINT (-77.405 39.1375),0.0,0.0,0.0
-77.405,39.14,3,2,0,0,0,POINT (-77.405 39.14),0.0,0.0,0.0
-77.405,39.1425,33,33,5,0,0,POINT (-77.405 39.1425),0.15151515151515152,0.0,0.0
-77.405,39.145,25,33,0,0,0,POINT (-77.405 39.145),0.0,0.0,0.0
-77.405,39.1725,3,0,0,0,0,POINT (-77.405 39.1725),0.0,0.0,0.0
-77.405,39.175,180,219,0,0,0,POINT (-77.405 39.175),0.0,0.0,0.0
-77.405,39.1875,2,4,2,0,0,POINT (-77.405 39.1875),1.0,0.0,0.0
-77.405,39.2375,3,0,3,0,0,POINT (-77.405 39.2375),1.0,0.0,0.0
-77.4025,39.11,1,0,0,0,0,POINT (-77.4025 39.11),0.0,0.0,0.0
-77.4025,39.115,2,0,0,0,0,POINT (-77.4025 39.115),0.0,0.0,0.0
-77.4025,39.125,3,9,0,0,0,POINT (-77.4025 39.125),0.0,0.0,0.0
-77.4025,39.1325,5,10,0,0,0,POINT (-77.4025 39.1325),0.0,0.0,0.0
-77.4025,39.135,71,58,0,0,0,POINT (-77.4025 39.135),0.0,0.0,0.0
-77.4025,39.1375,4,16,0,0,0,POINT (-77.4025 39.1375),0.0,0.0,0.0
-77.4025,39.14,3,2,0,0,0,POINT (-77.4025 39.14),0.0,0.0,0.0
-77.4025,39.1425,32,21,0,0,0,POINT (-77.4025 39.1425),0.0,0.0,0.0
-77.4025,39.145,5,16,0,0,0,POINT (-77.4025 39.145),0.0,0.0,0.0
-77.4025,39.1475,1,1,0,0,0,POINT (-77.4025 39.1475),0.0,0.0,0.0
-77.4025,39.15,2,0,0,0,0,POINT (-77.4025 39.15),0.0,0.0,0.0
-77.4025,39.17,15,0,0,0,0,POINT (-77.4025 39.17),0.0,0.0,0.0
-77.4025,39.1725,4,1,0,0,0,POINT (-77.4025 39.1725),0.0,0.0,0.0
